scenario,product,category,customer_type,user_activity,time_of_day,day_type,season,weather,discount,urgency,tone,emoji,notification
Transactional,Dark Chocolate Truffle,Ice Cream,New,Payment Attempted,Late Night,Weekend,Winter,Cold,No Discount,High,Urgent,🍦,⚠️ Dark Chocolate Truffle order stalled: payment issue. One tap to sort it out.
Product Launches,Roasted Almond Fudge,Ice Cream,Occasional,Home Feed View,Evening,Weekend,Winter,Sunny,30%,Low,Premium,🍦,🎁 Combo drop: build your box with Roasted Almond Fudge now available.
Discounts & Promotions,Lotus Biscoff Tart,Bakery Dessert,Premium,Subscription Page View,Late Night,Weekday,Autumn,Hot,20%,Medium,Playful,🧁,📅 Subscribe to Lotus Biscoff Tart and pocket 20 % every single week. Do the math.
Lifecycle & Re10tion,Premium Tiramisu Twist,Jar Dessert,New,App Open,Afternoon,Weekday,Autumn,Sunny,20%,Low,Playful,🍮,⚡ Week 7 streak intact — one Premium Tiramisu Twist order keeps the fire burning.
Trends & Recommendations,Cookie Dough Delight,Bakery Dessert,Inactive,App Open,Night,Weekday,Winter,Rainy,0%,High,Exciting,🧁,📈 Everyone in Pune is ordering Cookie Dough Delight. You're next.
Cart & Purchase In10t,Strawberry,Ice Cream,New,Wishlist View,Late Night,Weekday,Summer,Rainy,15%,High,Exciting,🍦,📌 Pinned: Strawberry. Unpinned excuse not to order it: none.
Time & Context,Mango Tango,Ice Cream,Occasional,App Open,Late Night,Weekend,Winter,Rainy,15%,Medium,Funny,🍦,🌦️ Rainy in Bengaluru + Mango Tango = perfect combo. Do the math.
Lifecycle & Re10tion,Cheesecake,Cheesecake,Returning,First App Open,Evening,Weekend,Monsoon,Rainy,15%,Medium,Warm,🍰,👋 Welcome! Your first Cheesecake order gets 15 % off. Easy start.
Discounts & Promotions,Premium Tiramisu Jar,Jar Dessert,Returning,App Open,Night,Weekend,Spring,Cold,Free Delivery,Medium,Exciting,🍮,🎁 Delivery fee on Premium Tiramisu Jar: zero today. You read that right.
Lifecycle & Re10tion,Choco Lava Cupcakes,Bakery Dessert,Occasional,App Open,Evening,Weekend,Spring,Rainy,40%,Low,Luxury,🧁,🔥 15-week streak on the line. Choco Lava Cupcakes keeps it alive. Don't break now.
Trends & Recommendations,Mint Chocolate Chip,Ice Cream,New,Home Feed View,Late Night,Weekday,Autumn,Sunny,Buy1Get1,Low,Playful,🍦,💥 Mint Chocolate Chip just went viral in Pune. See what the hype is about.
Trends & Recommendations,Salted Caramel Brownie Bliss,Bakery Dessert,Occasional,Home Feed View,Evening,Weekday,Monsoon,Sunny,50%,Medium,Exciting,🧁,📣 530 orders of Salted Caramel Brownie Bliss in Kolkata since this evening. Word is out.
Cart & Purchase In10t,Cookies n' Cream,Bakery Dessert,Premium,Favoriting,Afternoon,Weekday,Winter,Sunny,15%,High,Premium,🧁,❤️ You hearted Cookies n' Cream. Your tastebuds agree. Your cart is waiting.
Cart & Purchase In10t,Belgian Choco Fudge,Ice Cream,Premium,Browsing,Late Night,Weekday,Summer,Cloudy,25%,Low,Premium,🍦,💸 Price drop on Belgian Choco Fudge: 25 % off. No coupon needed. Just tap.
Cart & Purchase In10t,Premium Tiramisu Jar,Jar Dessert,New,Favoriting,Night,Weekday,Monsoon,Rainy,20%,Medium,Warm,🍮,📌 Pinned: Premium Tiramisu Jar. Unpinned excuse not to order it: none.
Product Launches,Sorbet Cup,Sorbet,Returning,Notify Me Clicked,Evening,Weekend,Autumn,Rainy,Buy1Get1,High,Friendly,🍧,🔄 Back by demand: Sorbet Cup is restocked in Kolkata.
Product Launches,Red Velvet,Ice Cream,Occasional,Home Feed View,Evening,Weekend,Autumn,Rainy,No Discount,Low,Urgent,🍦,🎁 Combo drop: build your box with Red Velvet now available.
Festivals & Occasions,Strawberry Cheesecake,Cheesecake,New,Home Feed View,Morning,Weekend,Spring,Rainy,15%,Medium,Urgent,🍰,🪔 Durga Puja deserves Strawberry Cheesecake on the table. Don't miss out.
Transactional,Premium Tiramisu Jar,Jar Dessert,Premium,Order Placed,Night,Weekend,Winter,Rainy,No Discount,Low,Friendly,🍮,🎯 Got it! Premium Tiramisu Jar order confirmed and heading to prep right now.
Trends & Recommendations,Red Velvet,Ice Cream,Occasional,App Open,Night,Weekday,Summer,Rainy,20%,High,Funny,🍦,🔥 Red Velvet is literally trending in Mumbai right now. Don't miss it.
App Updates,Gingerbread Kulfi Bar,Kulfi,Returning,App Open,Afternoon,Weekend,Spring,Cold,0%,Low,Premium,🍡,🗺️ Bengaluru just got bigger on our delivery map — Gingerbread Kulfi Bar reaches more of you.
Lifecycle & Re10tion,Dark Chocolate Truffle,Ice Cream,Occasional,App Open,Afternoon,Weekday,Summer,Hot,50%,Medium,Urgent,🍦,⚡ Week 11 streak intact — one Dark Chocolate Truffle order keeps the fire burning.
Trends & Recommendations,Cardamom Saffron,Ice Cream,Returning,Order History View,Late Night,Weekend,Summer,Hot,0%,High,Funny,🍦,🎯 Based on your vibe: Cardamom Saffron. We're rarely wrong about this.
Discounts & Promotions,Salted Caramel Brownie Bliss,Bakery Dessert,Occasional,Subscription Page View,Night,Weekday,Autumn,Hot,15%,Low,Friendly,🧁,"🔁 Weekly Salted Caramel Brownie Bliss subscription = 15 % off forever. Yes, forever."
Transactional,Red Velvet Cheesecake Bites,Cheesecake,Inactive,Order Delivered,Night,Weekend,Winter,Cold,No Discount,Low,Funny,🍰,✅ Done! Red Velvet Cheesecake Bites delivered successfully in Chennai. Dig in.
Transactional,Hot Fudge Sundae,Sundae,Loyal,Order Dispatched,Afternoon,Weekend,Spring,Cold,No Discount,Medium,Minimal,🍨,🛵 Your Hot Fudge Sundae is en route — 27 minutes out. Almost time.
Social & Referral,Choco Chip Cookie Sandwich,Bakery Dessert,Premium,Home Feed View,Afternoon,Weekend,Monsoon,Cloudy,No Discount,Low,Luxury,🧁,🎊 Party planning? Choco Chip Cookie Sandwich party packs are literally made for this.
Cart & Purchase In10t,Blue Velvet Cloud,Ice Cream,Loyal,Favoriting,Late Night,Weekend,Spring,Sunny,20%,Low,Luxury,🍦,❤️ You hearted Blue Velvet Cloud. Your tastebuds agree. Your cart is waiting.
Festivals & Occasions,Tiramisu Twist,Jar Dessert,New,Home Feed View,Late Night,Weekend,Monsoon,Rainy,10%,High,Minimal,🍮,🎉 Diwali special: Tiramisu Twist is 10 % off today only. Celebrate right.
Discounts & Promotions,Rose Thandai Kulfi,Kulfi,Inactive,Subscription Page View,Evening,Weekday,Spring,Rainy,15%,Medium,Warm,🍡,"🔁 Weekly Rose Thandai Kulfi subscription = 15 % off forever. Yes, forever."
Time & Context,Sheer Khurma Kulfi,Kulfi,Returning,App Open,Morning,Weekend,Monsoon,Hot,Free Delivery,High,Playful,🍡,🌙 Morning cravings are real. Sheer Khurma Kulfi is the answer.
App Updates,Chocolate Shake,Shake,Premium,App Open,Late Night,Weekend,Monsoon,Rainy,No Discount,Low,Urgent,🥤,📍 Expansion news: Chocolate Shake now delivers to more of Mumbai.
Time & Context,Watermelon Sorbet,Sorbet,Returning,App Open,Night,Weekend,Autumn,Sunny,50%,Medium,Friendly,🍧,🌦️ Sunny in Kolkata + Watermelon Sorbet = perfect combo. Do the math.
App Updates,Blue Velvet Cloud,Ice Cream,Returning,App Open,Afternoon,Weekday,Summer,Hot,0%,Low,Minimal,🍦,📍 Expansion news: Blue Velvet Cloud now delivers to more of Mumbai.
Product Launches,Rose Thandai Kulfi,Kulfi,Returning,Home Feed View,Afternoon,Weekend,Monsoon,Hot,25%,Low,Exciting,🍡,🧩 New combo unlocked: Rose Thandai Kulfi joins the mix-and-match box.
Lifecycle & Re10tion,Red Velvet,Ice Cream,Occasional,First App Open,Late Night,Weekday,Spring,Hot,20%,High,Urgent,🍦,🎁 First timer? Red Velvet at 20 % off is your welcome gift.
Discounts & Promotions,Red Velvet,Ice Cream,Loyal,App Open,Late Night,Weekend,Monsoon,Cloudy,Free Delivery,Medium,Luxury,🍦,🎁 Delivery fee on Red Velvet: zero today. You read that right.
Cart & Purchase In10t,Gingerbread Kulfi Bar,Kulfi,Occasional,Browsing,Night,Weekend,Monsoon,Hot,10%,High,Funny,🍡,💸 Price drop on Gingerbread Kulfi Bar: 10 % off. No coupon needed. Just tap.
Time & Context,Blue Velvet Cloud,Ice Cream,Returning,App Open,Morning,Weekend,Monsoon,Hot,Free Delivery,Medium,Exciting,🍦,🗓️ It's a weekend in Delhi. Blue Velvet Cloud is the obvious move.
Cart & Purchase In10t,Sorbet Cup,Sorbet,Returning,Cart Saved,Afternoon,Weekday,Summer,Cloudy,30%,Low,Warm,🍧,💸 Price drop on Sorbet Cup: 30 % off. No coupon needed. Just tap.
Cart & Purchase In10t,Mango Delight,Ice Cream,Returning,Wishlist View,Evening,Weekday,Autumn,Cold,0%,High,Funny,🍦,❤️ You hearted Mango Delight. Your tastebuds agree. Your cart is waiting.
Discounts & Promotions,Coffee Caramel Swirl,Ice Cream,Loyal,App Open,Late Night,Weekday,Monsoon,Rainy,Free Delivery,High,Luxury,🍦,🛵 Free delivery on Coffee Caramel Swirl today. Zero. Nada. Nothing extra.
Cart & Purchase In10t,Coffee Toffee Crunch,Ice Cream,Premium,Notify Me Clicked,Morning,Weekend,Winter,Rainy,30%,Medium,Funny,🍦,🎉 The Coffee Toffee Crunch shortage is officially over in Pune. Order while you can.
Lifecycle & Re10tion,Nutella Stuffed Croissant,Bakery Dessert,New,First App Open,Afternoon,Weekday,Winter,Rainy,10%,Medium,Urgent,🧁,👋 Welcome! Your first Nutella Stuffed Croissant order gets 10 % off. Easy start.
Product Launches,Kesar Pista,Ice Cream,Returning,Notify Me Clicked,Night,Weekend,Winter,Sunny,0%,High,Premium,🍦,🔄 Back by demand: Kesar Pista is restocked in Kolkata.
Social & Referral,Choco Walnut Brownie,Bakery Dessert,Loyal,Referral Page View,Late Night,Weekday,Autumn,Cloudy,15%,Medium,Funny,🧁,"👯 Share your code, earn 15 % off Choco Walnut Brownie. Friendship has perks."
Product Launches,Chocolate Pastry,Bakery Dessert,New,Home Feed View,Night,Weekend,Winter,Rainy,10%,High,Urgent,🧁,🚀 Launching now: Chocolate Pastry. Be an early adopter.
Time & Context,Rose Thandai Kulfi,Kulfi,Premium,App Open,Morning,Weekday,Winter,Cloudy,Free Delivery,High,Minimal,🍡,🌦️ Cloudy in Mumbai + Rose Thandai Kulfi = perfect combo. Do the math.
Lifecycle & Re10tion,Belgian Brownie Bites,Bakery Dessert,Inactive,App Open,Late Night,Weekday,Autumn,Hot,25%,High,Minimal,🧁,🔥 3-week streak on the line. Belgian Brownie Bites keeps it alive. Don't break now.
Time & Context,Coconut Almond Delight,Ice Cream,Occasional,App Open,Afternoon,Weekend,Spring,Cold,20%,Low,Warm,🍦,☁️ Cold weather in Chennai? Coconut Almond Delight is the obvious antidote.
Festivals & Occasions,Strawberry Cheesecake,Cheesecake,Loyal,Home Feed View,Morning,Weekday,Autumn,Sunny,0%,Medium,Exciting,🍰,"📆 Today's food holiday agenda: step 1, order Strawberry Cheesecake. That's the whole list."
Time & Context,Tricolor Kulfi Bar,Kulfi,Occasional,App Open,Morning,Weekday,Spring,Rainy,40%,Medium,Premium,🍡,"🌅 morning treat unlocked: Tricolor Kulfi Bar, delivered fresh to you."
Search & Discovery,Black Forest Pastry,Bakery Dessert,Inactive,Scrolled Category,Afternoon,Weekend,Summer,Cold,50%,Low,Playful,🧁,👁️ You've looked at Black Forest Pastry multiple times. It's not going to order itself.
App Updates,Guava Chili Sorbet,Sorbet,Returning,App Open,Evening,Weekday,Spring,Cloudy,0%,Low,Minimal,🍧,📍 Expansion news: Guava Chili Sorbet now delivers to more of Pune.
Trends & Recommendations,Cookies n' Cream,Bakery Dessert,Premium,Home Feed View,Morning,Weekend,Winter,Cold,No Discount,Medium,Premium,🧁,📣 530 orders of Cookies n' Cream in Kolkata since this morning. Word is out.
Transactional,Vanilla,Ice Cream,Returning,Order Placed,Late Night,Weekend,Monsoon,Hot,No Discount,Low,Luxury,🍦,✅ Vanilla order confirmed. Kitchen mode: activated.
Product Launches,Gulab Jamun Cheesecake,Cheesecake,Occasional,Home Feed View,Morning,Weekend,Monsoon,Cloudy,20%,Medium,Funny,🍰,⏳ Limited run: Gulab Jamun Cheesecake is here for this monsoon only. Act fast.
Transactional,Butterscotch Pecan,Ice Cream,Occasional,Order Dispatched,Morning,Weekday,Spring,Cold,No Discount,Medium,Friendly,🍦,📍 Delivery update: Butterscotch Pecan is 17 minutes from your door.
Cart & Purchase In10t,Nutella Croissant,Bakery Dessert,Premium,Cart Saved,Night,Weekend,Winter,Hot,30%,High,Exciting,🧁,🎯 30 % off Nutella Croissant. Right product. Right price. Right now.
Search & Discovery,Chocolate Pastry,Bakery Dessert,Premium,Search Performed,Night,Weekday,Summer,Sunny,50%,Medium,Warm,🧁,📲 Your search? Answered. It's Chocolate Pastry.
Discounts & Promotions,Mango Tango,Ice Cream,Occasional,App Open,Morning,Weekday,Monsoon,Hot,20%,High,Friendly,🍦,⚡ Flash deal: Mango Tango at 20 % off. Blink and you'll miss it.
Cart & Purchase In10t,Premium Tiramisu Twist,Jar Dessert,Returning,Cart idle 2h,Late Night,Weekend,Autumn,Cold,30%,High,Exciting,🍮,🫵 You. Premium Tiramisu Twist. Cart. Let's finish what you started.
Search & Discovery,Pistachio Rose,Ice Cream,Loyal,Search Performed,Evening,Weekday,Autumn,Cloudy,Free Delivery,Medium,Urgent,🍦,📲 Your search? Answered. It's Pistachio Rose.
Cart & Purchase In10t,Kulfi,Kulfi,Returning,Favoriting,Morning,Weekend,Winter,Rainy,Free Delivery,Medium,Luxury,🍡,💛 You saved Kulfi. Now save yourself the regret — order it.
Lifecycle & Re10tion,Red Velvet Cheesecake Bites,Cheesecake,Inactive,First App Open,Late Night,Weekend,Autumn,Rainy,10%,Low,Premium,🍰,🎁 First timer? Red Velvet Cheesecake Bites at 10 % off is your welcome gift.
Cart & Purchase In10t,Hazelnut Praline,Ice Cream,Premium,Order History View,Evening,Weekend,Monsoon,Sunny,50%,Low,Funny,🍦,⚡ Same Hazelnut Praline. Same joy. Faster this time — one tap reorder.
Search & Discovery,Chocolate Pastry,Bakery Dessert,Premium,Scrolled Category,Evening,Weekend,Autumn,Cloudy,30%,High,Premium,🧁,🤔 Chocolate Pastry keeps showing up in your history. Coincidence? We think not.
Cart & Purchase In10t,Black Currant Bliss,Ice Cream,Inactive,Cart idle 1d,Afternoon,Weekday,Winter,Cloudy,Free Delivery,Low,Urgent,🍦,⏳ Black Currant Bliss has been in your cart for too long. It deserves better.
Social & Referral,Choco Lava Cupcakes,Bakery Dessert,New,Group Cart View,Late Night,Weekday,Summer,Cloudy,15%,High,Luxury,🧁,"👥 Group Choco Lava Cupcakes order = 15 % off for everyone. Do the math, then do the order."
Trends & Recommendations,Mango Chili Sorbet,Sorbet,Loyal,Home Feed View,Night,Weekend,Winter,Cloudy,No Discount,Low,Premium,🍧,👥 267 people in Bengaluru ordered Mango Chili Sorbet today. Join the club.
Discounts & Promotions,Coconut Almond Delight,Ice Cream,Loyal,Promo Banner View,Afternoon,Weekend,Winter,Cloudy,20%,High,Funny,🍦,"🚨 20 % off Coconut Almond Delight — active now, gone soon. You know what to do."
Lifecycle & Re10tion,Falooda,Beverage Dessert,Occasional,Order Delivered,Morning,Weekend,Summer,Cloudy,0%,Low,Playful,🥛,"⭐ Rate your Falooda — takes 5 seconds, helps us a lot."
Lifecycle & Re10tion,Butterscotch Pecan,Ice Cream,Occasional,Inactive,Late Night,Weekend,Monsoon,Sunny,25%,Medium,Premium,🍦,😢 60 days without Butterscotch Pecan. That's too long. Come back with 25 % off.
Cart & Purchase In10t,Gulab Jamun Cheesecake,Cheesecake,Premium,Notify Me Clicked,Afternoon,Weekend,Autumn,Cold,25%,Low,Premium,🍰,🔄 Gulab Jamun Cheesecake is back in stock. Don't let history repeat itself.
Product Launches,Black Forest Pastry,Bakery Dessert,Returning,Home Feed View,Afternoon,Weekend,Winter,Cloudy,Buy1Get1,Medium,Warm,🧁,"🌟 Small batch, big flavor: Black Forest Pastry, available while stocks last."
Search & Discovery,Triple Scoop Sundae,Sundae,Premium,Search Performed,Afternoon,Weekend,Monsoon,Cold,10%,High,Funny,🍨,📲 Your search? Answered. It's Triple Scoop Sundae.
Product Launches,Black Currant,Ice Cream,Inactive,Home Feed View,Morning,Weekday,Winter,Cloudy,0%,High,Friendly,🍦,"🆕 Black Currant just dropped. First come, first served."
Time & Context,Hot Fudge Sundae,Sundae,Inactive,App Open,Late Night,Weekend,Monsoon,Cloudy,No Discount,Medium,Premium,🍨,"🌅 late night treat unlocked: Hot Fudge Sundae, delivered fresh to you."
Time & Context,Paan Surprise,Ice Cream,Loyal,App Open,Night,Weekday,Monsoon,Rainy,30%,High,Minimal,🍦,"🌅 night treat unlocked: Paan Surprise, delivered fresh to you."
Cart & Purchase In10t,Chocolate Brownie Ice Cream,Bakery Dessert,Premium,Cart Saved,Night,Weekday,Winter,Rainy,30%,Medium,Friendly,🧁,🎯 30 % off Chocolate Brownie Ice Cream. Right product. Right price. Right now.
Transactional,Mango Chili Sorbet,Sorbet,Premium,Order Delivered,Morning,Weekday,Winter,Cloudy,0%,Low,Playful,🍧,✅ Done! Mango Chili Sorbet delivered successfully in Mumbai. Dig in.
Search & Discovery,Roasted Almond Fudge,Ice Cream,New,Search Performed,Night,Weekday,Autumn,Rainy,Buy1Get1,High,Playful,🍦,📲 Your search? Answered. It's Roasted Almond Fudge.
Cart & Purchase In10t,Sorbet Cup,Sorbet,New,App Open,Afternoon,Weekday,Spring,Cloudy,No Discount,Low,Funny,🍧,🍽️ Your Sorbet Cup reorder is prepped and waiting. Just confirm.
Social & Referral,Banana Caramel Swirl,Ice Cream,Inactive,Home Feed View,Night,Weekend,Spring,Sunny,25%,Low,Minimal,🍦,🎊 Party planning? Banana Caramel Swirl party packs are literally made for this.
Lifecycle & Re10tion,Black Currant Bliss,Ice Cream,Loyal,First App Open,Late Night,Weekday,Summer,Rainy,25%,Medium,Minimal,🍦,🎁 First timer? Black Currant Bliss at 25 % off is your welcome gift.
App Updates,Nutella Brownie,Bakery Dessert,New,App Open,Night,Weekend,Autumn,Cloudy,0%,Low,Friendly,🧁,"🔧 Fixed, polished, faster — ordering Nutella Brownie is smooth as ever now."
Search & Discovery,Lotus Biscoff Tart,Bakery Dessert,Returning,Category Browse,Late Night,Weekend,Summer,Hot,30%,Low,Minimal,🧁,🗺️ Exploring the menu? Lotus Biscoff Tart is the hidden gem you're looking for.
Product Launches,Blueberry Cheesecake,Cheesecake,Loyal,Home Feed View,Afternoon,Weekday,Spring,Cold,25%,Low,Urgent,🍰,⏳ Limited run: Blueberry Cheesecake is here for this spring only. Act fast.
Lifecycle & Re10tion,Chocolate Pastry,Bakery Dessert,Occasional,Inactive,Late Night,Weekend,Autumn,Rainy,15%,Low,Warm,🧁,⏰ 22-day gap recorded. 15 % off Chocolate Pastry waiting to fix that.
App Updates,Belgian Brownie Bites,Bakery Dessert,Occasional,App Open,Late Night,Weekday,Spring,Cloudy,0%,Low,Premium,🧁,📍 Expansion news: Belgian Brownie Bites now delivers to more of Hyderabad.
Transactional,Choco Chip Cookie Sandwich,Bakery Dessert,New,Payment Attempted,Afternoon,Weekend,Summer,Sunny,No Discount,High,Luxury,🧁,❌ Payment failed on Choco Chip Cookie Sandwich. Quick fix needed — tap to retry.
Lifecycle & Re10tion,Choco Lava Cupcakes,Bakery Dessert,Premium,App Open,Evening,Weekday,Winter,Cold,No Discount,Low,Playful,🧁,⚡ Week 9 streak intact — one Choco Lava Cupcakes order keeps the fire burning.
Transactional,Chocolate Pastry,Bakery Dessert,Returning,Order Delivered,Late Night,Weekend,Spring,Hot,No Discount,Low,Warm,🧁,✅ Done! Chocolate Pastry delivered successfully in Chennai. Dig in.
Lifecycle & Re10tion,Saffron Pistachio Kulfi Bar,Kulfi,Occasional,Order Delivered,Late Night,Weekday,Summer,Rainy,0%,Medium,Friendly,🍡,📝 Your Saffron Pistachio Kulfi Bar review = someone else's perfect order decision. Write it.
Discounts & Promotions,Rose Pistachio Brownie,Bakery Dessert,Occasional,App Open,Late Night,Weekend,Monsoon,Rainy,25%,High,Urgent,🧁,🏅 Loyal customers eat better — 25 % off Rose Pistachio Brownie just hit your account.
Discounts & Promotions,Hazelnut Praline,Ice Cream,Occasional,App Open,Late Night,Weekend,Monsoon,Hot,30%,Medium,Luxury,🍦,🎉 Loyalty perk dropped: 30 % off Hazelnut Praline. Because you deserve it.
Trends & Recommendations,Saffron Pistachio Kulfi Bar,Kulfi,Occasional,Home Feed View,Night,Weekday,Summer,Sunny,50%,High,Minimal,🍡,📣 530 orders of Saffron Pistachio Kulfi Bar in Chennai since this night. Word is out.
Discounts & Promotions,Salted Caramel Brownie Bliss,Bakery Dessert,New,Coupon Page View,Afternoon,Weekday,Monsoon,Cold,15%,Low,Exciting,🧁,💌 A little 15 % gift for you — use it on Salted Caramel Brownie Bliss before it expires.
Search & Discovery,Choco Walnut Brownie,Bakery Dessert,New,Scrolled Category,Afternoon,Weekend,Autumn,Sunny,20%,Medium,Exciting,🧁,🤔 Choco Walnut Brownie keeps showing up in your history. Coincidence? We think not.
Transactional,Gingerbread Kulfi Bar,Kulfi,New,Payment Attempted,Night,Weekday,Summer,Hot,No Discount,High,Warm,🍡,❌ Payment failed on Gingerbread Kulfi Bar. Quick fix needed — tap to retry.
Cart & Purchase In10t,Salted Caramel Brownie Bliss,Bakery Dessert,Inactive,Wishlist View,Night,Weekday,Summer,Sunny,25%,Medium,Warm,🧁,📌 Pinned: Salted Caramel Brownie Bliss. Unpinned excuse not to order it: none.
Search & Discovery,Tiramisu Jar,Jar Dessert,Premium,Category Browse,Afternoon,Weekend,Monsoon,Sunny,40%,Low,Warm,🍮,🧭 Category deep-dive tip: stop at Tiramisu Jar. Trust us.
Discounts & Promotions,Watermelon Sorbet,Sorbet,New,Coupon Page View,Afternoon,Weekday,Spring,Rainy,20%,High,Playful,🍧,💌 A little 20 % gift for you — use it on Watermelon Sorbet before it expires.
Trends & Recommendations,Rasmalai Cake Slice,Ice Cream,Premium,App Open,Night,Weekday,Autumn,Rainy,40%,Low,Playful,🍦,🤖 Algorithm approved: Rasmalai Cake Slice is your next order. Trust the process.
Social & Referral,Blue Velvet Cloud,Ice Cream,Premium,Home Feed View,Morning,Weekend,Summer,Sunny,Free Delivery,Medium,Friendly,🍦,🥳 Feeding the crew this weekend? Blue Velvet Cloud in bulk has you sorted.
Festivals & Occasions,Vanilla,Ice Cream,Loyal,Home Feed View,Morning,Weekend,Summer,Sunny,10%,Low,Warm,🍦,"📆 Today's food holiday agenda: step 1, order Vanilla. That's the whole list."
Social & Referral,Mango Delight,Ice Cream,Occasional,Group Cart View,Morning,Weekend,Autumn,Cloudy,20%,High,Premium,🍦,"🤝 Split the Mango Delight order, split the savings — 20 % off for 4+ people."
Transactional,Blueberry Cheesecake,Cheesecake,Inactive,Order Delivered,Evening,Weekend,Winter,Cloudy,0%,Low,Playful,🍰,✅ Done! Blueberry Cheesecake delivered successfully in Delhi. Dig in.
Trends & Recommendations,Black Forest Pastry,Bakery Dessert,New,App Open,Afternoon,Weekend,Winter,Sunny,30%,Medium,Premium,🧁,🤖 Algorithm approved: Black Forest Pastry is your next order. Trust the process.
Transactional,Cheesecake,Cheesecake,Premium,Order Dispatched,Night,Weekday,Spring,Hot,No Discount,Medium,Playful,🍰,📍 Delivery update: Cheesecake is 27 minutes from your door.
Cart & Purchase In10t,Mango Sorbet,Sorbet,Loyal,Wishlist View,Afternoon,Weekday,Monsoon,Hot,15%,High,Warm,🍧,📌 Pinned: Mango Sorbet. Unpinned excuse not to order it: none.
Lifecycle & Re10tion,10der Coconut,Ice Cream,Returning,App Open,Evening,Weekend,Spring,Hot,25%,Low,Warm,🍦,⚡ Week 15 streak intact — one 10der Coconut order keeps the fire burning.
Transactional,Mini Brownie Bites,Bakery Dessert,New,Order Delivered,Afternoon,Weekday,Spring,Rainy,No Discount,Low,Playful,🧁,🎉 Delivered! Your Mini Brownie Bites has landed. Enjoy every bite.
Time & Context,Red Velvet Cheesecake Bites,Cheesecake,Inactive,App Open,Afternoon,Weekday,Spring,Rainy,50%,High,Funny,🍰,🌦️ Rainy in Mumbai + Red Velvet Cheesecake Bites = perfect combo. Do the math.
Lifecycle & Re10tion,Salted Caramel Brownie,Bakery Dessert,Inactive,App Open,Night,Weekday,Winter,Sunny,40%,High,Friendly,🧁,⚡ Week 13 streak intact — one Salted Caramel Brownie order keeps the fire burning.
Social & Referral,Nutella Brownie,Bakery Dessert,New,Referral Page View,Morning,Weekday,Summer,Cloudy,10%,Low,Funny,🧁,"👯 Share your code, earn 10 % off Nutella Brownie. Friendship has perks."
Transactional,Tricolor Kulfi Bar,Kulfi,Occasional,Order Delivered,Afternoon,Weekend,Winter,Cloudy,0%,Low,Funny,🍡,✅ Done! Tricolor Kulfi Bar delivered successfully in Hyderabad. Dig in.
Lifecycle & Re10tion,Tricolor Kulfi Bar,Kulfi,Returning,Inactive,Night,Weekend,Spring,Rainy,10%,High,Funny,🍡,😢 10 days without Tricolor Kulfi Bar. That's too long. Come back with 10 % off.
Lifecycle & Re10tion,Salted Caramel Brownie,Bakery Dessert,Inactive,First App Open,Afternoon,Weekday,Spring,Cold,20%,High,Urgent,🧁,🎁 First timer? Salted Caramel Brownie at 20 % off is your welcome gift.
Transactional,Butterscotch Pecan,Ice Cream,Returning,Order Placed,Afternoon,Weekday,Winter,Rainy,0%,Low,Funny,🍦,🎯 Got it! Butterscotch Pecan order confirmed and heading to prep right now.
Product Launches,Cardamom Saffron,Ice Cream,Loyal,Notify Me Clicked,Late Night,Weekday,Winter,Rainy,25%,High,Friendly,🍦,🔄 Back by demand: Cardamom Saffron is restocked in Chennai.
Cart & Purchase In10t,Cheesecake,Cheesecake,Premium,App Open,Morning,Weekday,Spring,Sunny,0%,High,Urgent,🍰,⚡ Same Cheesecake. Same joy. Faster this time — one tap reorder.
Time & Context,Watermelon Sorbet,Sorbet,Returning,App Open,Morning,Weekday,Winter,Hot,15%,Medium,Luxury,🍧,🗓️ It's a weekday in Delhi. Watermelon Sorbet is the obvious move.
Discounts & Promotions,Cheesecake,Cheesecake,Premium,App Open,Late Night,Weekday,Summer,Hot,30%,High,Playful,🍰,🏅 Loyal customers eat better — 30 % off Cheesecake just hit your account.
App Updates,Vanilla Bean,Ice Cream,Returning,App Open,Afternoon,Weekend,Summer,Hot,0%,Low,Premium,🍦,🗺️ Pune just got bigger on our delivery map — Vanilla Bean reaches more of you.
Time & Context,Hazelnut Praline,Ice Cream,New,App Open,Evening,Weekend,Monsoon,Rainy,30%,Low,Premium,🍦,🌙 Evening cravings are real. Hazelnut Praline is the answer.
Transactional,Black Currant,Ice Cream,Returning,Order Placed,Morning,Weekday,Winter,Cloudy,No Discount,Low,Warm,🍦,📋 Order in — Black Currant is on the board. We're on it.
Trends & Recommendations,Black Currant Bliss,Ice Cream,New,App Open,Night,Weekend,Winter,Cloudy,50%,High,Funny,🍦,📊 Your order DNA says: Black Currant Bliss is the next logical step.
Time & Context,Paan Surprise,Ice Cream,Returning,App Open,Afternoon,Weekday,Summer,Cloudy,40%,High,Playful,🍦,🌙 Afternoon cravings are real. Paan Surprise is the answer.
App Updates,Cheesecake,Cheesecake,New,App Open,Afternoon,Weekday,Autumn,Cloudy,0%,Low,Exciting,🍰,"🔧 Fixed, polished, faster — ordering Cheesecake is smooth as ever now."
Lifecycle & Re10tion,Premium Tiramisu Jar,Jar Dessert,New,Inactive,Morning,Weekday,Spring,Cloudy,15%,Medium,Warm,🍮,😢 22 days without Premium Tiramisu Jar. That's too long. Come back with 15 % off.
